ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Scraped Tweet ID
08-20,31/03/2023 18:46:00,https://twitter.com/lenie_lopena/status/1546744739063402501,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@lenie_lopena,leine lopena,I follow Maine fans only .. MAINERS..,Identified,02/20,37,27,"London, England",Korek Hindi kawalan  ng pilipinas mawala ang Rappler puro fake nyo news Lang ang binabalita at paninira ang mga  demonyo yan.,,"Text, Reply (Quote Tweet)",07/12/22 06:34,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",,88
08-21,"3/4/2023 
10:50:00",https://twitter.com/KaihoSuzette/status/1545750345816899584,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@KaihoSuzette,kaiho suzette,,Identified,09/20,31,3,,"@IndayMissM Hanip hahahaha sila pa nanawagan, kami nanawagan na Sana makulong ka Ressa Galis at  mag SARA yang Rappler 👎👎👎👎game over sa mga epal na katulad nyo wala kayong puwang sa mundo ng journalism puro kayo fake news",,"Text, Reply",07/09/22 12:42,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","No bio, no location",94
08-22,31/03/2023 19:14:00,https://twitter.com/CLoveadore/status/1544734778842177536,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@CLoveadore,malditang lola,Karma is a bitch when it hits you back. Defender of the truth. Don’t like corrupt politicians who use their power for their own agenda❤️💚Bbm Sara loyalist,Anonymous,06/19,1131,701,,@GerryCacanindin Moved on kana. Ginagamit mong fact galing sa rappler ma fake news peddler. iCc duplicated it di naman napatunayan dahil ICc never been to the Philippines. Yang tsismiss mong figure eh considered fake news.,,"Text, Reply",07/06/22 17:27,,Rational,5,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",No location,103
08-23,31/03/2023 19:18:00,https://twitter.com/aris9205/status/1543641733430661120,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@aris9205,aris2022,"Marcos and Duterte supporter.
I hate bias and fake news.
Pink/Yellow idiots are not allowed to comment in my wall.
Pro-government.",Anonymous,07/10,927,441,Bulacan,Padefend-defend press freedom pa kayo nalalaman. Eh saksakan naman gumawa ng fake news and misleading content ng mga bias media tulad ng Rappler.,,"Text, Reply (Quote Tweet)",07/03/22 17:04,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",,107
08-24,31/03/2022 19:32:00,https://twitter.com/jovelyne_robles/status/1543110015950934016,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@jovelyne_robles,Jovelyne Robles,patriotic,Identified,07/22,33,2,,"@AP Shut up Hillary Clinton,we are doing fine in Philippines right now!rappler should be out!rappler constantly delivering toxic fake and divisive news,ma.rissa is troublesome!!l!",,"Text, Reply",07/02/22 05:51,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",No location,113
08-25,31/03/2023 19:39:00,https://twitter.com/ako_si_Rey/status/1542915090953179137,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@ako_si_Rey,Reynaldo Torres,Isiah 43:1,Identified,02/20,265,18,"Santa Maria, Central Luzon",@HillaryClinton Wow! Are you a filipino? Rappler is like a virus here. They spreading fake news!,,"Text, Reply",07/01/22 16:56,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",,116
08-26,31/03/2023 20:20:00,https://twitter.com/aanandcarb/status/1542776144537104385,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@aanandcarb,ferdinandfcarbonell,,Identified,08/14,43,21,"La Union, Philippines",@HillaryClinton Hahahaha Rappler is a source of Fake news,,"Text, Reply",07/01/22 07:44,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",No bio,121
08-27,04/11/23 10:30:17,https://twitter.com/Alnhilp/status/1542643399173369856,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Alnhilp,Alpo,Single,Anonymous,03/20,1820,984,Quezon City,"@HillaryClinton Hey! indio, shut your mouth up,  firstly, Maria Ressa is not a pilipino, she is pure Indonesian, secondly, her rappler has been ruining our government since 2016, peddling fake news ang disinformation, that's why majority of the pilipinos hated rappler, do your research!",,"Text, Reply",30/06/22 22:57,,Emotional,1,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation and that Maria Ressa is Indonesian.

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

The rumors started when Duterte supporter Jay Sonza and Manila Times writer Rigoberto Tiglao claimed without basis that Maria Ressa had Indonesian parents. Her father Manuel Phil Aycardo III and mother Hermelina Estrella Delfin Aycardo were both Filipinos.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project



When fake news made Maria Ressa an ‘Indonesian citizen’

[https://verafiles.org/articles/when-fake-news-made-maria-ressa-indonesian-citizen]",,124
08-28,04/11/23 10:49:55,https://twitter.com/LandOfPromis3/status/1542531270642569217,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@LandOfPromis3,Bagong_Pinas,😁,Anonymous,02/22,134,3,,"@HillaryClinton Are you one of us! a Filipino citizen? rappler reporting/spreading fake news. they are obstacle in the Philippines.. I think USA need rappler beside you trusted them 100%,pls take rappler in USA w/open arms. we don't need them.",,"Text, Reply",30/06/22 15:31,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",No location,128
08-29,04/11/23 11:07:17,https://twitter.com/Jheruma1/status/1542514124978257924,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Jheruma1,Jheruma,NoBody,Anonymous,05/21,87,18,,@HillaryClinton The only truth about rappler is their FAKE NEWS,,"Text, Reply",30/06/22 14:23,,Rational,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",No location,131
08-30,04/11/23 11:36:58,https://twitter.com/RockyMa46760498/status/1542483749849673729,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@RockyMa46760498,Rocky Marciano 🔴🟢,"I am a Filipino patriot who desire to see my country free from drugs, from terrorism, and from corruption. Activist. Certified DDS/BBM. 👊🏻👊🏻👊🏻✌🏻✌🏻✌🏻🇵",Identified,09/19,836,3042,Republic of the Philippines,"The people of the Philippines deserve source of news and information that will tell us the truth...

But for God's sake we don't deserve Rappler, or Maria Ressa or any other fake news sources. Spare us from this scourge. https://t.co/ggtmKjeyVl",,"Text, Image",30/06/22 12:22,,Emotional,76,15,13,6,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",,135
08-31,04/11/23 11:44:20,https://twitter.com/bassista17/status/1542405886114549760,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@bassista17,bassista17,,Anonymous,10/18,134,1,,@HillaryClinton Rappler SOURCE OF FAKE NEWS AND HATE!!,,"Text, Reply",30/06/22 07:13,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project","No location, no bio",139
